,Symbol,Company_Name,Industry,Market_Cap_Millions
1269,CLWT,Euro Tech Holdings Company,Trading Companies & Distributors,9
1270,CLX,The Clorox Company,Household Products,18300
1271,CLXT,Calyxt,Biotechnology,8
1272,CM,Canadian Imperial Bank of Commerce,Banks,41330
1273,CMA,Comerica,Banks,9770
1274,CMAX,CareMax,Health Information Services,511
1275,CMBM,Cambium Networks,Communications Equipment,411
1276,CMC,Commercial Metals Company,Metals & Mining,4150
1277,CMCA,Capitalworks Emerging Markets Acquisition,Blank Check / SPAC,287
1278,CMCL,Caledonia Mining,Metals & Mining,132
1279,CMCM,Cheetah Mobile,Software,102
1280,CMCO,Columbus McKinnon,Machinery,820
1281,CMCSA,Comcast,Media,183230
1282,CMCT,CIM Commercial Trust,Equity Real Estate Investment Trusts ...,163
1283,CME,CME Group,Capital Markets,72580
1284,CMG,Chipotle Mexican Grill,"Hotels, Restaurants & Leisure",36350
1285,CMI,Cummins,Machinery,27710
1286,CMLS,Cumulus Media,Media,138
1287,CMMB,Chemomab Therapeutics,Biotechnology,36
1288,CMP,Compass Minerals International,Metals & Mining,1080
1289,CMPO,CompoSecure,Shell Companies,388
1290,CMPR,Cimpress,Commercial Services & Supplies,712
1291,CMPS,COMPASS Pathways,Health Care Providers & Services,513
1292,CMPX,Compass Therapeutics,Biotechnology,283
1293,CMRA, Comera Life Sciences Holdings,Biotechnology,39
1294,CMRE,Costamare,Marine,1350
1295,CMRX,Chimerix,Biotechnology,188
1296,CMS,CMS Energy,Multi-Utilities,19210
1297,CMT,Core Molding Technologies,Chemicals,77
1298,CMTG,Claros Mortgage Trust,REIT-Mortgage,2490
1299,CMTL,Comtech Telecommunications,Communications Equipment,253
1300,CNA,CNA Financial,Insurance,11440
1301,CNC,Centene,Health Care Providers & Services,52440
1302,CNCE,Concert Pharmaceuticals,Biotechnology,223
1303,CND,Concord Acquisition,Blank Check / SPAC,351
1304,CNDA,Concord Acquisition II,Blank Check / SPAC,338
1305,CNDB,Concord Acquisition III,Blank Check / SPAC,429
1306,CNDT,Conduent,IT Services,890
1307,CNET,ZW Data Action Technologies,Media,18
1308,CNEY,CN Energy Group,Specialty Chemicals,53
1309,CNF,CNFinance Holdings,Thrifts & Mortgage Finance,165
1310,CNFR,Conifer Holdings,Insurance,16
1311,CNGL,Canna-Global Acquisition,Blank Check / SPAC,269
1312,CNHI,CNH Industrial,Machinery,14900
1313,CNI,Canadian National Railway Company,Road & Rail,76710
1314,CNK,Cinemark Holdings,Entertainment,1940
1315,CNM,Core & Main,Industrial Distribution,3610
1316,CNMD,CONMED,Health Care Equipment & Supplies,2840
1317,CNNB,Cincinnati Bancorp,Banks-Regional,42
1318,CNNE,Cannae Holdings,Diversified Financial Services,1740
1319,CNO,CNO Financial Group,Insurance,1990
1320,CNOB,ConnectOne Bancorp,Banks,956
1321,CNP,CenterPoint Energy,Multi-Utilities,18640
1322,CNQ,Canadian Natural Resources,"Oil, Gas & Consumable Fuels",54600
1323,CNR,Cornerstone Building Brands,Building Products,3120
1324,CNS,Cohen & Steers,Capital Markets,3310
1325,CNSL,Consolidated Communications Holdings,Diversified Telecommunication Services,758
1326,CNSP,CNS Pharmaceuticals,Pharmaceuticals,10
1327,CNTA,Centessa Pharmaceuticals,Biotechnology,489
1328,CNTB,Connect Biopharma Holdings,Biotechnology,50
1329,CNTG,Centogene,Biotechnology,59
1330,CNTQ,Chardan NexTech Acquisition 2,Blank Check / SPAC,160
1331,CNTX,Context Therapeutics,Pharmaceuticals,31
1332,CNTY,Century Casinos,"Hotels, Restaurants & Leisure",221
1333,CNVY,Convey Holding Parent,Health Information Services,762
1334,CNX,CNX Resources,"Oil, Gas & Consumable Fuels",3430
1335,CNXC,Concentrix,IT Services,6520
1336,CNXN,PC Connection,"Electronic Equipment, Instruments & C...",1160
1337,CO,Global Cord Blood,Health Care Providers & Services,307
1338,COCO,The Vita Coco Company,Beverages-Non-Alcoholic,651
1339,COCP,Cocrystal Pharma,Pharmaceuticals,42
1340,CODA,Coda Octopus Group,"Electronic Equipment, Instruments & C...",53
1341,CODI,Compass Diversified Holdings,Diversified Financial Services,1530
1342,CODX,Co-Diagnostics,Health Care Equipment & Supplies,196
1343,COE,China Online Education Group,Diversified Consumer Services,32
1344,COF,Capital One Financial,Consumer Finance,42510
1345,COFS,ChoiceOne Financial Services,Banks,146
1346,COGT,Cogent Biosciences,Biotechnology,682
1347,COHN,Cohen & Company,Capital Markets,18
1348,COHU,"Cohu, Inc.",Semiconductors & Semiconductor Equipment,1330
1349,COIN,Coinbase Global,Capital Markets,14090
1350,COKE,Coca-Cola Consolidated,Beverages,4700
1351,COLB,Columbia Banking System,Banks,2300
1352,COLD,Americold Realty Trust,Equity Real Estate Investment Trusts ...,8390
1353,COLI,Colicity,Blank Check / SPAC,422
1354,COLL,Collegium Pharmaceutical,Pharmaceuticals,561
1355,COLM,Columbia Sportswear Company,"Textiles, Apparel & Luxury Goods",4610
1356,COMM,CommScope Holding Company,Communications Equipment,1340
1357,COMP,Compass,Software-Application,1740
1358,COMS,ComSovereign Holding,Telecom Services,9
1359,CONN,Conn's,Specialty Retail,222
1360,CONX,CONX Corp.,Blank Check / SPAC,930
1361,COO,The Cooper Companies,Health Care Equipment & Supplies,14480
1362,COOK,Traeger,"Furnishings, Fixtures & Appliances",469
1363,COOL,Corner Growth Acquisition,Blank Check / SPAC,494
1364,COOP,Mr. Cooper Group,Thrifts & Mortgage Finance,2800
1365,COP,ConocoPhillips,"Oil, Gas & Consumable Fuels",107210
1366,CORR,CorEnergy Infrastructure Trust,Equity Real Estate Investment Trusts ...,34
1367,CORS,Corsair Partnering,Blank Check / SPAC,289
1368,CORT,Corcept Therapeutics,Pharmaceuticals,2890
1369,CORZ,Core Scientific,Software-Infrastructure,507
1370,COSM,Cosmos Holdings,Health Care Providers & Services,7
1371,COST,Costco Wholesale,Food & Staples Retailing,231650
1372,COTY,Coty Inc.,Personal Products,6130
1373,COUP,Coupa Software,Software,4550
1374,COUR,Coursera,Education & Training Services,2270
1375,COVA,COVA Acquisition,Blank Check / SPAC,368
1376,COWN,Cowen,Capital Markets,962
1377,CP,Canadian Pacific Railway,Road & Rail,66030
1378,CPA,Copa Holdings,Airlines,2630
1379,CPAA,Conyers Park III Acquisition,Blank Check / SPAC,432
1380,CPAC,Cementos Pacasmayo,Construction Materials,386
1381,CPAQ,Counter Press Acquisition,Blank Check / SPAC,72
1382,CPAR,Catalyst Partners Acquisition,Blank Check / SPAC,438
1383,CPB,Campbell Soup Company,Food Products,14650
1384,CPE,Callon Petroleum Company,"Oil, Gas & Consumable Fuels",2300
1385,CPF,Central Pacific Financial,Banks,591
1386,CPG,Crescent Point Energy,"Oil, Gas & Consumable Fuels",3770
1387,CPHC,Canterbury Park Holding,"Hotels, Restaurants & Leisure",120
1388,CPHI,China Pharma Holdings,Pharmaceuticals,9
1389,CPIX,Cumberland Pharmaceuticals,Pharmaceuticals,33
1390,CPK,Chesapeake Utilities,Gas Utilities,2270
1391,CPLP,Capital Product Partners,"Oil, Gas & Consumable Fuels",260
1392,CPNG,Coupang,Internet & Direct Marketing Retail,27850
1393,CPOP,Pop Culture Group ,Entertainment,38
1394,CPRI,Capri Holdings,"Textiles, Apparel & Luxury Goods",6100
1395,CPRT,Copart,Commercial Services & Supplies,27570
1396,CPRX,Catalyst Pharmaceuticals,Biotechnology,880
1397,CPS,Cooper-Standard Holdings,Auto Components,76
1398,CPSH,CPS Technologies,"Electronic Equipment, Instruments & C...",48
1399,CPSI,Computer Programs & Systems,Health Care Technology,474
1400,CPSS,Consumer Portfolio Services,Consumer Finance,222
1401,CPT,Camden Property Trust,Equity Real Estate Investment Trusts ...,14070
1402,CPTK,Crown PropTech Acquisitions,Blank Check / SPAC,338
1403,CPTN,Cepton,Software-Application,217
1404,CPUH,Compute Health Acquisition,Blank Check / SPAC,1060
1405,CQP,Cheniere Energy Partners LP,"Oil, Gas & Consumable Fuels",20480
1406,CR,Crane Co.,Machinery,5030
1407,CRAI,CRA International,Professional Services,666
1408,CRBP,Corbus Pharmaceuticals Holdings,Biotechnology,37
1409,CRBU,Caribou Biosciences,Biotechnology,434
1410,CRC,California Resources,"Oil, Gas & Consumable Fuels",3180
1411,CRCT,Cricut,Computer Hardware,1570
1412,CRD.A,Crawford & Company,Insurance Brokers,350
1413,CRD.B,Crawford & Company,Insurance Brokers,350
1414,CRDF,Cardiff Oncology,Biotechnology,116
1415,CRDL,Cardiol Therapeutics,Drug Manufacturers-Specialty & Generic,77
1416,CRDO,Credo Technology Group Holding,Communication Equipment,1610
1417,CREC,Crescera Capital Acquisition,Blank Check / SPAC,266
1418,CREG,China Recycling Energy,Commercial Services & Supplies,23
1419,CRESY,Cresud SACIF y A.,Real Estate Management & Development,258
1420,CREX,Creative Realities,Media,12
1421,CRGE,Charge Enterprises,Information Technology Services,697
1422,CRGY,Crescent Energy Company,Oil & Gas E&P,2100
1423,CRH,CRH Plc,Construction Materials,26430
1424,CRHC,Cohn Robbins Holdings,Shell Companies,1030
1425,CRI,Carter's,"Textiles, Apparel & Luxury Goods",3150
1426,CRIS,Curis,Biotechnology,102
1427,CRK,Comstock Resources,"Oil, Gas & Consumable Fuels",2910
1428,CRKN,Crown ElectroKinetics,Specialty Chemicals,15
1429,CRL,Charles River Laboratories International,Life Sciences Tools & Services,11160
1430,CRM,Salesforce.com,Software,166540
1431,CRMD,CorMedix,Pharmaceuticals,180
1432,CRMT,America's Car-Mart,Specialty Retail,599
1433,CRNC,Cerence,Software,960
1434,CRNT,Ceragon Networks,Communications Equipment,216
1435,CRNX,Crinetics Pharmaceuticals,Biotechnology,1110
1436,CRON,Cronos Group,Pharmaceuticals,1100
1437,CROX,Crocs,"Textiles, Apparel & Luxury Goods",3330
1438,CRS,Carpenter Technology,Metals & Mining,1330
1439,CRSP,CRISPR Therapeutics AG,Biotechnology,6460
1440,CRSR,Corsair Gaming,"Technology Hardware, Storage & Periph...",1210
1441,CRT,Cross Timbers Royalty Trust,"Oil, Gas & Consumable Fuels",95
1442,CRTD,Creatd,Internet Content & Information,20
1443,CRTO,Criteo,Media,1330
1444,CRTX,Cortexyme,Biotechnology,78
1445,CRU,Crucible Acquisition,Blank Check / SPAC,318
1446,CRUS,Cirrus Logic,Semiconductors & Semiconductor Equipment,4210
1447,CRVL,CorVel,Health Care Providers & Services,2670
1448,CRVS,Corvus Pharmaceuticals,Biotechnology,46
1449,CRWD,CrowdStrike Holdings,Software,41290
1450,CRWS,Crown Crafts,"Textiles, Apparel & Luxury Goods",64
1451,CRXT,Clarus Therapeutics Holdings,Drug Manufacturers-General,19
1452,CRZN,Corazon Capital V838 Monoceros,Blank Check / SPAC,249
1453,CS,Credit Suisse Group AG,Capital Markets,13450
1454,CSBR,Champions Oncology,Life Sciences Tools & Services,110
1455,CSCO,Cisco Systems,Communications Equipment,178350
1456,CSCW,Color Star Technology Co.,Entertainment,24
1457,CSGP,CoStar Group,Professional Services,23740
1458,CSGS,CSG Systems International,IT Services,1970
1459,CSII,Cardiovascular Systems,Health Care Equipment & Supplies,619
1460,CSIQ,Canadian Solar,Semiconductors & Semiconductor Equipment,1870
1461,CSL,Carlisle Companies,Industrial Conglomerates,13180
1462,CSLM,Consilium Acquisition Corp I,Blank Check / SPAC,232
1463,CSPI,CSP Inc.,IT Services,40
1464,CSR,Centerspace,"Electronic Equipment, Instruments & C...",1330
1465,CSSE,Chicken Soup for the Soul Entertainment,Entertainment,133
1466,CSTA,Constellation Acquisition I,Blank Check / SPAC,381
1467,CSTE,Caesarstone,Building Products,318
1468,CSTL,Castle Biosciences,Biotechnology,649
1469,CSTM,Constellium SE,Metals & Mining,1870
1470,CSTR,CapStar Financial Holdings,Banks,436
1471,CSV,Carriage Services,Diversified Consumer Services,601
1472,CSWC,Capital Southwest,Capital Markets,477
1473,CSWI,CSW Industrials,Building Products,1680
1474,CSX,CSX Corporation,Road & Rail,62750
1475,CTAQ,Carney Technology Acquisition II,Blank Check / SPAC,504
1476,CTAS,Cintas,Commercial Services & Supplies,39490
1477,CTBI,Community Trust Bancorp,Banks,733
1478,CTEK,CynergisTek,Health Care Providers & Services,15
1479,CTG,Computer Task Group,IT Services,126
1480,CTGO,Contango ORE,Metals & Mining,153
1481,CTHR,Charles & Colvard,"Textiles, Apparel & Luxury Goods",39
1482,CTIB,Yunhong CTI,Household Durables,4
1483,CTIC,CTI BioPharma,Biotechnology,715
1484,CTKB,Cytek Biosciences,Medical Devices,1620
1485,CTLP,Cantaloupe,Information Technology Services,395
1486,CTLT,Catalent,Pharmaceuticals,18490
1487,CTMX,CytomX Therapeutics,Biotechnology,98
1488,CTO,CTO Realty Growth,Real Estate Management & Development,371
1489,CTOS,Custom Truck One Source,Trading Companies & Distributors,1270
1490,CTRA,Coterra Energy,"Oil, Gas & Consumable Fuels",21690
1491,CTRE,CareTrust REIT,Equity Real Estate Investment Trusts ...,1900
1492,CTRM,Castor Maritime,Marine,129
1493,CTRN,Citi Trends,Specialty Retail,185
1494,CTS,CTS Corporation,"Electronic Equipment, Instruments & C...",1130
1495,CTSH,Cognizant Technology Solutions,IT Services,34320
1496,CTSO,CytoSorbents,Health Care Equipment & Supplies,97
1497,CTT,CatchMark Timber Trust,Equity Real Estate Investment Trusts ...,507
1498,CTV,Innovid,Advertising Agencies,309
1499,CTVA,Corteva,Chemicals,37630
1500,CTXR,Citius Pharmaceuticals,Pharmaceuticals,133
1501,CTXS,Citrix Systems,Software,12980
1502,CUBE,CubeSmart,Equity Real Estate Investment Trusts ...,9390
1503,CUBI,Customers Bancorp,Banks,1160
1504,CUE,Cue Biopharma,Biotechnology,93
1505,CUEN,Cuentas,Diversified Telecommunication Services,8
1506,CUK,Carnival,"Hotels, Restaurants & Leisure",9810
1507,CULL,Cullman Bancorp,Banks,82
1508,CULP,"Culp, Inc.","Textiles, Apparel & Luxury Goods",57
1509,CURI,CuriosityStream,Broadcasting,92
1510,CURO,CURO Group Holdings,Consumer Finance,243
1511,CURV,Torrid Holdings,Apparel Retail,439
1512,CUTR,Cutera,Health Care Equipment & Supplies,693
1513,CUZ,Cousins Properties,Equity Real Estate Investment Trusts ...,4260
1514,CVAC,CureVac,Biotechnology,2360
1515,CVBF,CVB Financial,Banks,3440
1516,CVCO,Cavco Industries,Household Durables,1970
1517,CVCY,Central Valley Community Bancorp,Banks,177
1518,CVE,Cenovus Energy,"Oil, Gas & Consumable Fuels",32299
1519,CVEO,Civeo,Commercial Services & Supplies,347
1520,CVET,Covetrus,Health Care Providers & Services,2900
1521,CVGI,Commercial Vehicle Group,Machinery,204
1522,CVGW,Calavo Growers,Food Products,767
1523,CVI,CVR Energy,"Oil, Gas & Consumable Fuels",3050
1524,CVII,Churchill Capital VII,Blank Check / SPAC,1690
1525,CVLG,Covenant Logistics Group,Road & Rail,419
1526,CVLT,Commvault Systems,Software,2660
1527,CVLY,Codorus Valley Bancorp,Banks,215
1528,CVM,Cel-Sci,Biotechnology,166
1529,CVNA,Carvana Co.,Specialty Retail,3770
1530,CVR,Chicago Rivet & Machine Co.,Machinery,27
1531,CVRX,"CVRx, Inc.",Medical Devices,138
1532,CVS,CVS Health,Health Care Providers & Services,125060
1533,CVT,Cvent Holding,Software-Application,2620
1534,CVV,CVD Equipment,Semiconductors & Semiconductor Equipment,28
1535,CVX,Chevron,"Oil, Gas & Consumable Fuels",270460
1536,CW,Curtiss-Wright,Aerospace & Defense,4950
1537,CWAN,Clearwater Analytics Holdings,Software-Application,3700
1538,CWBC,Community West Bancshares,Banks,119
1539,CWBR,CohBar,Biotechnology,16
1540,CWCO,Consolidated Water Co.,Water Utilities,217
1541,CWEN,Clearway Energy,Independent Power and Renewable Elect...,6860
1542,CWEN.A,Clearway Energy,Independent Power and Renewable Elect...,6860
1543,CWH,Camping World Holdings,Specialty Retail,988
1544,CWK,Cushman & Wakefield,Real Estate Management & Development,3420
1545,CWST,Casella Waste Systems,Commercial Services & Supplies,3780
1546,CWT,California Water Service Group,Water Utilities,3060
1547,CX,CEMEX,Construction Materials,5740
1548,CXAC,C5 Acquisition,Blank Check / SPAC,358
1549,CXDO,Crexendo,IT Services,67
1550,CXM,Sprinklr,Software-Application,2720
1551,CXW,CoreCivic,Equity Real Estate Investment Trusts ...,1310
1552,CYAD,Celyad Oncology,Biotechnology,36
1553,CYAN,Cyanotech,Personal Products,18
1554,CYBE,CyberOptics,Semiconductors & Semiconductor Equipment,257
1555,CYBN,Cybin,Biotechnology,101
1556,CYBR,CyberArk Software,Software,5160
1557,CYCC,Cyclacel Pharmaceuticals,Biotechnology,12
1558,CYCN,Cyclerion Therapeutics,Biotechnology,39
1559,CYD,China Yuchai International,Machinery,352
1560,CYH,Community Health Systems,Health Care Providers & Services,490
1561,CYN,Cyngn,Software-Application,40
1562,CYRN,Cyren,Software,15
1563,CYRX,CryoPort,Health Care Equipment & Supplies,1560
1564,CYT,Cyteir Therapeutics,Biotechnology,143
1565,CYTH,Cyclo Therapeutics,Drug Manufacturers-Specialty & Generic,18
1566,CYTK,Cytokinetics,Biotechnology,3470
1567,CYTO,Altamira Therapeutics,Biotechnology,7
1568,CYXT,Cyxtera Technologies,Information Technology Services,2120
1569,CZNC,Citizens & Northern,Banks,389
1570,CZOO,Cazoo Group,Auto & Truck Dealerships,479
1571,CZR,Caesars Entertainment,"Hotels, Restaurants & Leisure",8070
1572,CZWI,Citizens Community Bancorp,Banks,132
1573,D,Dominion Energy,Multi-Utilities,64250
1574,DAC,Danaos,Marine,1260
1575,DADA,Dada Nexus,Internet & Direct Marketing Retail,1920
1576,DAIO,Data I/O,"Electronic Equipment, Instruments & C...",25
1577,DAKT,Daktronics,"Electronic Equipment, Instruments & C...",146
1578,DAL,Delta Air Lines,Airlines,19290
1579,DALN,DallasNews,Media,34
1580,DALS,DA32 Life Science Tech Acquisition,Blank Check / SPAC,248
1581,DAN,Dana Incorporated,Auto Components,2050
1582,DAO,Youdao,Diversified Consumer Services,553
1583,DAOO,Crypto 1 Acquisition,Blank Check / SPAC,285
1584,DAR,Darling Ingredients,Food Products,9420
1585,DARE,Dare Bioscience,Health Care Equipment & Supplies,104
1586,DASH,DoorDash,Internet & Direct Marketing Retail,24620
1587,DATS,DatChat,Software-Application,21
1588,DAVA,Endava,IT Services,4750
1589,DAVE,Dave Inc.,Software-Application,224
1590,DAWN,Day One Biopharmaceuticals,Biotechnology,1380
1591,DB,Deutsche Bank AG,Capital Markets,16350
1592,DBD,Diebold Nixdorf,"Technology Hardware, Storage & Periph...",244
1593,DBGI,Digital Brands Group,Apparel Retail,8
1594,DBI,Designer Brands,Specialty Retail,933
1595,DBRG,DigitalBridge Group,REIT-Diversified,3350
1596,DBTX,Decibel Therapeutics,Biotechnology,115
1597,DBVT,DBV Technologies,Biotechnology,420
1598,DBX,Dropbox,Software,8170
1599,DC,Dakota Gold,Gold,120
1600,DCBO,Docebo,Software-Application,882
1601,DCFC,Tritium DCFC,Electrical Equipment & Parts,923
1602,DCGO,DocGo,Medical Care Facilities,759
1603,DCI,Donaldson Company,Machinery,5980
1604,DCO,Ducommun,Aerospace & Defense,512
1605,DCOM,Dime Community Bancshares,Thrifts & Mortgage Finance,1170
1606,DCP,DCP Midstream LP,"Oil, Gas & Consumable Fuels",6180
1607,DCPH,Deciphera Pharmaceuticals,Biotechnology,861
1608,DCRD,Decarbonization Plus Acquisition IV,Blank Check / SPAC,392
1609,DCT,Duck Creek Technologies,Software,1910
1610,DCTH,Delcath Systems,Medical Devices,31
1611,DD,DuPont de Nemours,Chemicals,27770
1612,DDD,3D Systems,"Technology Hardware, Storage & Periph...",1290
1613,DDI,DoubleDown Interactive Co.,Electronic Gaming & Multimedia,481
1614,DDL,Dingdong (Cayman),Grocery Stores,1210
1615,DDOG,Datadog,Software,29490
1616,DDS,Dillard's,Multiline Retail,3520
1617,DE,Deere & Company,Machinery,90990
1618,DEA,Easterly Government Properties,Equity Real Estate Investment Trusts ...,3430
1619,DECA,Denali Capital Acquisition,Blank Check / SPAC,107
1620,DECK,Deckers Outdoor,"Textiles, Apparel & Luxury Goods",7250
1621,DEI,Douglas Emmett,Equity Real Estate Investment Trusts ...,4530
1622,DELL,Dell Technologies,"Technology Hardware, Storage & Periph...",32140
1623,DEN,Denbury,"Oil, Gas & Consumable Fuels",2950
1624,DENN,Denny's,"Hotels, Restaurants & Leisure",548
1625,DEO,Diageo,Beverages,99700
1626,DERM,Journey Medical,Drug Manufacturers-Specialty & Generic,60
1627,DESP,Despegar.com,Internet & Direct Marketing Retail,480
1628,DFFN,Diffusion Pharmaceuticals,Biotechnology,15
1629,DFH,Dream Finders Homes,Residential Construction,1140
1630,DFIN,Donnelley Financial Solutions,Capital Markets,983
1631,DFS,Discover Financial Services,Consumer Finance,29220
1632,DG,Dollar General,Multiline Retail,55420
1633,DGICA,Donegal Group,Insurance,504
1634,DGICB,Donegal Group,Insurance,511
1635,DGII,Digi International,Communications Equipment,871
1636,DGLY,Digital Ally,"Electronic Equipment, Instruments & C...",36
1637,DGNU,Dragoneer Growth Opportunities III,Blank Check / SPAC,526
1638,DGX,Quest Diagnostics,Health Care Providers & Services,15950
1639,DH,Definitive Healthcare,Health Information Services,2410
1640,DHAC,Digital Health Acquisition,Blank Check / SPAC,149
1641,DHBC,DHB Capital,Blank Check / SPAC,352
1642,DHC,Diversified Healthcare Trust,Equity Real Estate Investment Trusts ...,418
1643,DHCA,DHC Acquisition,Blank Check / SPAC,379
1644,DHHC,DiamondHead Holdings,Blank Check / SPAC,423
1645,DHI,D.R. Horton,Household Durables,25860
1646,DHIL,Diamond Hill Investment Group,Capital Markets,569
1647,DHR,Danaher,Health Care Equipment & Supplies,185970
1648,DHT,DHT Holdings,"Oil, Gas & Consumable Fuels",1070
1649,DHX,DHI Group,Interactive Media & Services,238
1650,DIBS,1stdibs.com,Internet Retail,222
1651,DICE,DICE Therapeutics,Biotechnology,609
1652,DILA,DILA Capital Acquisition,Blank Check / SPAC,74
1653,DIN,Dine Brands Global,"Hotels, Restaurants & Leisure",1140
1654,DINO,HF Sinclair,"Oil, Gas & Consumable Fuels",9860
1655,DIOD,Diodes,Semiconductors & Semiconductor Equipment,3140
1656,DIS,The Walt Disney Company,Entertainment,173400
1657,DISA,Disruptive Acquisition I,Blank Check / SPAC,337
1658,DISH,DISH Network,Media,9410
1659,DIT,AMCON Distributing Company,Distributors,93
1660,DJCO,Daily Journal,Media,364
1661,DK,Delek US Holdings,"Oil, Gas & Consumable Fuels",1640
1662,DKDCA,Data Knights Acquisition,Blank Check / SPAC,153
1663,DKL,Delek Logistics Partners LP,"Oil, Gas & Consumable Fuels",2150
1664,DKNG,DraftKings Holdings,"Hotels, Restaurants & Leisure",5620
1665,DKS,Dick's Sporting Goods,Specialty Retail,7110
1666,DLA,Delta Apparel,"Textiles, Apparel & Luxury Goods",164
1667,DLB,Dolby Laboratories,"Electronic Equipment, Instruments & C...",7370
1668,DLCA,Deep Lake Capital Acquisition,Blank Check / SPAC,255
1669,DLHC,DLH Holdings,Professional Services,204
1670,DLNG,Dynagas LNG Partners,"Oil, Gas & Consumable Fuels",113
1671,DLO,DLocal,Software-Infrastructure,7470
1672,DLPN,Dolphin Entertainment,Entertainment,39
1673,DLR,Digital Realty Trust,Equity Real Estate Investment Trusts ...,35200
1674,DLTH,Duluth Holdings,Internet & Direct Marketing Retail,323
1675,DLTR,Dollar Tree,Multiline Retail,37720
1676,DLX,Deluxe,Commercial Services & Supplies,923
1677,DM,Desktop Metal,Computer Hardware,771
1678,DMAC,DiaMedica Therapeutics,Biotechnology,33
1679,DMAQ,Deep Medicine Acquisition,Blank Check / SPAC,164
1680,DMLP,Dorchester Minerals,"Oil, Gas & Consumable Fuels",941
1681,DMRC,Digimarc,Software,282
1682,DMS,Digital Media Solutions,Advertising Agencies,48
1683,DMTK,DermTech,Biotechnology,188
1684,DMYS,"dMY Technology Group, Inc. VI",Blank Check / SPAC,295
1685,DNA,Ginkgo Bioworks Holdings,Biotechnology,5330
1686,DNAA,Social Capital Suvretta Holdings I,Shell Companies,315
1687,DNAB,Social Capital Suvretta Holdings II,Blank Check / SPAC,310
1688,DNAD,Social Capital Suvretta Holdings IV,Blank Check / SPAC,310
1689,DNAY,Codex DNA,Medical Devices,49
1690,DNB,Dun & Bradstreet Holdings,Professional Services,6340
1691,DNLI,Denali Therapeutics,Biotechnology,4270
1692,DNMR,Danimer Scientific,Chemicals,506
1693,DNN,Denison Mines,"Oil, Gas & Consumable Fuels",850
1694,DNOW,NOW Inc.,Trading Companies & Distributors,1070
1695,DNUT,Krispy Kreme,Grocery Stores,2360
1696,DNZ,D & Z Media Acquisition,Blank Check / SPAC,352
1697,DO,Diamond Offshore Drilling,Energy Equipment & Services,561
1698,DOC,Physicians Realty Trust,Equity Real Estate Investment Trusts ...,3990
1699,DOCN,DigitalOcean Holdings,Software-Infrastructure,3600
1700,DOCS,Doximity,Health Information Services,8250
1701,DOCU,DocuSign,Software,12680
1702,DOGZ,Dogness (International),"Textiles, Apparel & Luxury Goods",66
1703,DOLE,Dole plc,Farm Products,812
1704,DOMA,Doma Holdings,Shell Companies,265
1705,DOMO,"Domo, Inc.",Software,1010
1706,DOOO,BRP Inc.,Leisure Products,5120
1707,DOOR,Masonite International,Building Products,1820
1708,DORM,Dorman Products,Auto Components,3610
1709,DOUG,Douglas Elliman,Real Estate Services,424
1710,DOV,Dover,Machinery,17380
1711,DOW,Dow Inc.,Chemicals,36080
1712,DOX,Amdocs,IT Services,10230
1713,DOYU,DouYu International Holdings,Entertainment,368
1714,DPCS,DP Cap Acquisition I,Blank Check / SPAC,286
1715,DPRO,Draganfly,Aerospace & Defense,29
1716,DPSI,DecisionPoint Systems,IT Services,30
1717,DPZ,Domino's Pizza,"Hotels, Restaurants & Leisure",14660
1718,DQ,Daqo New Energy,Semiconductors & Semiconductor Equipment,4980
1719,DRAY,Macondray Capital Acquisition I,Blank Check / SPAC,355
1720,DRCT,Direct Digital Holdings,Advertising Agencies,4
1721,DRD,DRDGOLD,Metals & Mining,476
1722,DRE,Duke Realty,Equity Real Estate Investment Trusts ...,22160
1723,DRH,DiamondRock Hospitality Company,Equity Real Estate Investment Trusts ...,1780
1724,DRI,Darden Restaurants,"Hotels, Restaurants & Leisure",14610
1725,DRIO,DarioHealth,Health Care Equipment & Supplies,140
1726,DRMA,Dermata Therapeutics,Biotechnology,6
1727,DRQ,Dril-Quip,Energy Equipment & Services,819
1728,DRRX,DURECT,Pharmaceuticals,102
1729,DRTS,Alpha Tau Medical,Biotechnology,703
1730,DRTT,DIRTT Environmental Solutions,Building Products,87
1731,DRUG,Bright Minds Biosciences,Biotechnology,10
1732,DRVN,Driven Brands Holdings,Auto & Truck Dealerships,4740
1733,DS,Drive Shack,"Hotels, Restaurants & Leisure",125
1734,DSAC,Duddell Street Acquisition,Blank Check / SPAC,218
1735,DSAQ,Direct Selling Acquisition,Blank Check / SPAC,288
1736,DSEY,Diversey Holdings,Personal Services,2060
1737,DSGN,Design Therapeutics,Biotechnology,1030
1738,DSGR,Distribution Solutions Group,Trading Companies & Distributors,929
1739,DSGX,The Descartes Systems Group,Software,5460
1740,DSKE,Daseke,Road & Rail,403
1741,DSP,Viant Technology,Software-Application,317
1742,DSS,"DSS, Inc.",Commercial Services & Supplies,40
1743,DSWL,Deswell Industries,"Electronic Equipment, Instruments & C...",48
1744,DSX,Diana Shipping,Marine,394
1745,DT,Dynatrace,Software,10420
1746,DTC,Solo Brands,Internet Retail,266
1747,DTE,DTE Energy Company,Multi-Utilities,24250
1748,DTEA,DAVIDsTEA,Specialty Retail,33
1749,DTIL,Precision BioSciences,Biotechnology,157
1750,DTM,DT Midstream,Oil & Gas Midstream,4690
